year,month,day,weekday,dow_open,euf_open,us_6mn
2018,12,3,2,2.577957031,1.8719999,2.56
2018,12,4,3,2.575256055,1.857,2.58
2018,12,6,5,2.473741992,1.7629999,2.56
2018,12,7,6,2.491882031,1.774,2.54
2018,12,10,2,2.436094922,1.7450001,2.54
2018,12,11,3,2.471991016,1.742,2.55
2018,12,12,4,2.450908984,1.758,2.56
2018,12,13,5,2.457585938,1.773,2.56
2018,12,14,6,2.440803906,1.74,2.56
2018,12,17,2,2.398683008,1.7370001,2.54
2018,12,18,3,2.376913086,1.7129999,2.53
2018,12,19,4,2.369333008,1.715,2.54
2018,12,20,5,2.322411914,1.6889999,2.55
2018,12,21,6,2.287174023,1.676,2.54
2018,12,24,2,2.23172793,1.65,2.52
2018,12,26,4,2.185773047,1.6450001,2.54
2018,12,27,5,2.262906055,1.649,2.49
2018,12,28,6,2.321360938,1.6959999,2.48
2018,12,31,2,2.315393945,1.6950001,2.56
2019,1,2,4,2.305860938,1.6639999,2.51
2019,1,3,5,2.317639063,1.683,2.47
2019,1,4,6,2.289491992,1.7200001,2.51
2019,1,7,2,2.347425977,1.7370001,2.54
2019,1,8,3,2.368032031,1.7610001,2.54
2019,1,9,4,2.384426953,1.7639999,2.52
2019,1,10,5,2.381110938,1.766,2.51
2019,1,11,6,2.394000977,1.767,2.5
2019,1,14,2,2.38805293,1.759,2.52
2019,1,15,3,2.391410938,1.7629999,2.52
2019,1,16,4,2.413991016,1.7879999,2.49
2019,1,17,5,2.414708984,1.784,2.5
2019,1,18,6,2.453418945,1.817,2.5
2019,1,22,3,2.460775977,1.793,2.51
2019,1,23,4,2.457725,1.8110001,2.51
2019,1,24,5,2.457996094,1.801,2.5
2019,1,25,6,2.468721094,1.8209999,2.51
2019,1,28,2,2.459698047,1.8139999,2.51
2019,1,29,3,2.451961914,1.8200001,2.51
2019,1,30,4,2.482651953,1.817,2.5
2019,1,31,5,2.495448047,1.8,2.46
2019,2,1,6,2.502531055,1.7940001,2.46
2019,2,4,2,2.506211914,1.7860001,2.49
2019,2,5,3,2.528792969,1.808,2.5
2019,2,6,4,2.537157031,1.8110001,2.5
2019,2,7,5,2.526581055,1.7969999,2.49
2019,2,8,6,2.504235938,1.7690001,2.49
2019,2,11,2,2.514281055,1.774,2.51
2019,2,12,3,2.51520293,1.784,2.5
2019,2,13,4,2.548085938,1.798,2.51
2019,2,14,5,2.546065039,1.774,2.51
2019,2,15,6,2.556463086,1.8030001,2.5
2019,2,19,3,2.584984961,1.802,2.52
2019,2,20,4,2.587225977,1.823,2.51
2019,2,21,5,2.592241016,1.8209999,2.51
2019,2,22,6,2.590626953,1.8219999,2.51
2019,2,25,2,2.612615039,1.8360001,2.51
2019,2,26,3,2.605160938,1.8389999,2.51
2019,2,27,4,2.599559961,1.8610001,2.52
2019,2,28,5,2.59842793,1.8780001,2.5
2019,3,1,6,2.601966992,1.89,2.52
2019,3,4,2,2.612218945,1.877,2.54
2019,3,5,3,2.582907031,1.867,2.53
2019,3,6,4,2.581875977,1.8690001,2.53
2019,3,7,5,2.564544922,1.834,2.52
2019,3,8,6,2.534738086,1.7950001,2.52
2019,3,11,2,2.5208,1.8200001,2.54
2019,3,12,3,2.560030078,1.8299999,2.53
2019,3,13,4,2.563723047,1.8459999,2.53
2019,3,14,5,2.569231055,1.8639999,2.52
2019,3,15,6,2.572096094,1.8780001,2.52
2019,3,18,2,2.580188086,1.9049999,2.51
2019,3,19,3,2.598786914,1.9200001,2.52
2019,3,20,4,2.586778906,1.8950001,2.49
2019,3,21,5,2.568843945,1.866,2.5
2019,3,22,6,2.584465039,1.835,2.48
2019,3,25,2,2.54907207,1.8209999,2.49
2019,3,26,3,2.564956055,1.8209999,2.49
2019,3,27,4,2.567633984,1.8379999,2.46
2019,3,28,5,2.569332031,1.8219999,2.44
2019,3,29,6,2.582731055,1.8200001,2.44
2019,4,1,2,2.607509961,1.843,2.46
2019,4,2,3,2.621355078,1.8639999,2.45
2019,4,3,4,2.62380293,1.8940001,2.45
2019,4,4,5,2.621341992,1.898,2.46
2019,4,5,6,2.642756055,1.8969999,2.46
2019,4,8,2,2.631266992,1.898,2.48
2019,4,9,3,2.624353906,1.9,2.46
2019,4,10,4,2.617371094,1.8940001,2.46
2019,4,11,5,2.618821094,1.9110001,2.46
2019,4,12,6,2.635778906,1.9450001,2.47
2019,4,15,2,2.640775977,1.9530001,2.46
2019,4,16,3,2.648218945,1.968,2.47
2019,4,17,4,2.64685293,1.9889999,2.47
2019,4,18,5,2.646336914,1.975,2.47
2019,4,22,2,2.651076953,1.975,2.47
2019,4,23,3,2.651383008,1.9559999,2.46
2019,4,24,4,2.665256055,1.9469999,2.46
2019,4,25,5,2.642636914,1.925,2.46
2019,4,26,6,2.645461914,1.933,2.46
2019,4,29,2,2.655986914,1.9440001,2.47
2019,4,30,3,2.659456055,1.959,2.46
2019,5,1,4,2.663906055,1.9549999,2.44
2019,5,2,5,2.640715039,1.951,2.46
2019,5,3,6,2.637914063,1.9540001,2.46
2019,5,6,2,2.616061914,1.918,2.46
2019,5,7,3,2.627690039,1.907,2.46
2019,5,8,4,2.593378906,1.89,2.45
2019,5,9,5,2.587884961,1.866,2.46
2019,5,10,6,2.57637207,1.876,2.45
2019,5,13,2,2.556806055,1.851,2.42
2019,5,14,3,2.53840293,1.849,2.43
2019,5,15,4,2.540013086,1.841,2.43
2019,5,16,5,2.569214063,1.874,2.43
2019,5,17,6,2.571994922,1.8610001,2.42
2019,5,20,2,2.565531055,1.849,2.42
2019,5,21,3,2.578233984,1.857,2.42
2019,5,22,4,2.581846094,1.8440001,2.41
2019,5,23,5,2.565799023,1.8190001,2.4
2019,5,24,6,2.555107031,1.841,2.39
2019,5,28,3,2.561655078,1.834,2.38
2019,5,29,4,2.523146094,1.808,2.38
2019,5,30,5,2.513993945,1.818,2.4
2019,5,31,6,2.504631055,1.7950001,2.35
2019,6,3,2,2.483016016,1.7940001,2.31
2019,6,4,3,2.496282031,1.834,2.29
2019,6,5,4,2.5451,1.8379999,2.25
2019,6,6,5,2.556744922,1.8360001,2.22
2019,6,7,6,2.57687207,1.843,2.15
2019,6,10,2,2.60902207,1.8559999,2.21
2019,6,11,3,2.618058984,1.8719999,2.21
2019,6,12,4,2.604030078,1.8540001,2.2
2019,6,13,5,2.603693945,1.8450001,2.18
2019,6,14,6,2.607635938,1.8280001,2.18
2019,6,17,2,2.61085293,1.7639999,2.2
2019,6,18,3,2.622890039,1.766,2.2
2019,6,19,4,2.649016016,1.792,2.11
2019,6,20,5,2.666538086,1.8049999,2.04
2019,6,21,6,2.674911914,1.7969999,2.05
2019,6,24,2,2.672760938,1.8049999,2.1
2019,6,25,3,2.673160938,1.7940001,2.1
2019,6,26,4,2.659941992,1.799,2.12
2019,6,27,5,2.65237207,1.8059999,2.12
2019,6,28,6,2.660592969,1.8120001,2.09
2019,7,1,2,2.680585938,1.835,2.1
2019,7,2,3,2.67195293,1.825,2.09
2019,7,3,4,2.683232031,1.842,2.08
2019,7,5,6,2.686775,1.858,2.14
2019,7,8,2,2.683564063,1.8389999,2.14
2019,7,9,3,2.672511914,1.825,2.15
2019,7,10,4,2.685196094,1.8440001,2.07
2019,7,11,5,2.695016016,1.835,2.08
2019,7,12,6,2.713949023,1.8450001,2.07
2019,7,15,2,2.736468945,1.8469999,2.06
2019,7,16,3,2.734932031,1.842,2.06
2019,7,17,4,2.732091016,1.833,2.04
2019,7,18,5,2.719198047,1.8209999,2.01
2019,7,19,6,2.724638086,1.8120001,2.03
2019,7,22,2,2.717417969,1.8120001,2.08
2019,7,23,3,2.723185938,1.8219999,2.09
2019,7,24,4,2.726224023,1.8110001,2.08
2019,7,25,5,2.724739063,1.815,2.08
2019,7,26,6,2.7166,1.7950001,2.1
2019,7,29,2,2.719224023,1.79,2.1
2019,7,30,3,2.714539063,1.7549999,2.07
2019,7,31,4,2.724466992,1.7530001,2.1
2019,8,1,5,2.687985938,1.7459999,2.04
2019,8,2,6,2.652866016,1.7200001,2.02
2019,8,5,2,2.625923047,1.6889999,1.99
2019,8,6,3,2.581061914,1.6879999,2
2019,8,7,4,2.58142207,1.6629999,1.95
2019,8,8,5,2.608651953,1.682,1.96
2019,8,9,6,2.633708984,1.676,1.95
2019,8,12,2,2.616991016,1.657,1.94
2019,8,13,3,2.588888086,1.6440001,1.96
2019,8,14,4,2.603508008,1.624,1.92
2019,8,15,5,2.551425,1.6110001,1.86
2019,8,16,6,2.567816992,1.6190001,1.85
2019,8,19,2,2.602006055,1.651,1.9
2019,8,20,3,2.608685938,1.6379999,1.89
2019,8,21,4,2.614535938,1.651,1.9
2019,8,22,5,2.627164063,1.652,1.91
2019,8,23,6,2.613421094,1.643,1.87
2019,8,26,2,2.582605078,1.6389999,1.9
2019,8,27,3,2.601446094,1.643,1.94
2019,8,28,4,2.571299023,1.617,1.89
2019,8,29,5,2.624908984,1.64,1.89
2019,8,30,6,2.647639063,1.6469999,1.89
2019,9,3,3,2.619825977,1.6290001,1.88
2019,9,4,4,2.630199023,1.659,1.87
2019,9,5,5,2.660315039,1.691,1.88
2019,9,6,6,2.679025,1.699,1.88
2019,9,9,2,2.686623047,1.7209999,1.87
2019,9,10,3,2.680583008,1.7540001,1.89
2019,9,11,4,2.692805078,1.758,1.88
2019,9,12,5,2.719732031,1.752,1.9
2019,9,13,6,2.721666992,1.8030001,1.92
2019,9,16,2,2.714606055,1.7790001,1.93
2019,9,17,3,2.701011914,1.757,1.93
2019,9,18,4,2.707539063,1.7620001,1.91
2019,9,19,5,2.718605078,1.7799999,1.92
2019,9,20,6,2.710217969,1.7860001,1.91
2019,9,23,2,2.685144922,1.757,1.93
2019,9,24,3,2.703407031,1.76,1.91
2019,9,25,4,2.686671094,1.732,1.9
2019,9,26,5,2.700410938,1.7469999,1.88
2019,9,27,6,2.698725977,1.751,1.85
2019,9,30,2,2.685233008,1.759,1.83
2019,10,1,3,2.696253906,1.7559999,1.81
2019,10,2,4,2.642585938,1.7059999,1.75
2019,10,3,5,2.603901953,1.6870001,1.66
2019,10,4,6,2.627169922,1.6860001,1.65
2019,10,7,2,2.650233008,1.699,1.73
2019,10,8,3,2.627658984,1.683,1.69
2019,10,9,4,2.630823047,1.6860001,1.69
2019,10,10,5,2.631734961,1.7049999,1.68
2019,10,11,6,2.669419922,1.7889999,1.68
2019,10,14,2,2.676642969,1.7709999,2.209142857
2019,10,15,3,2.681119922,1.7860001,1.67
2019,10,16,4,2.697231055,1.826,1.64
2019,10,17,5,2.703238086,1.849,1.63
2019,10,18,6,2.700449023,1.84,1.63
2019,10,21,2,2.685266992,1.877,1.65
2019,10,22,3,2.685042969,1.866,1.64
2019,10,23,4,2.683524023,1.8610001,1.64
2019,10,24,5,2.689392969,1.8790001,1.65
2019,10,25,6,2.678960938,1.858,1.66
2019,10,28,2,2.704033008,1.8620001,1.65
2019,10,29,3,2.706107031,1.857,1.64
2019,10,30,4,2.711071094,1.843,1.62
2019,10,31,5,2.718836914,1.8379999,1.57
